datetime,capital,position_value,equity
2025-05-27,1000000.0,0.0,1000000.0
2025-05-28,1000000.0,0.0,1000000.0
2025-05-29,1000000.0,0.0,1000000.0
2025-06-02,1000000.0,0.0,1000000.0
2025-06-03,1000000.0,0.0,1000000.0
2025-06-04,1000000.0,0.0,1000000.0
2025-06-05,1000000.0,0.0,1000000.0
2025-06-06,1000000.0,0.0,1000000.0
2025-06-09,1000000.0,0.0,1000000.0
2025-06-10,1000000.0,0.0,1000000.0
2025-06-11,0.0,998075.9620189905,998075.9620189905
2025-06-12,985616.9634942841,0.0,985616.9634942841
2025-06-13,985616.9634942841,0.0,985616.9634942841
2025-06-16,985616.9634942841,0.0,985616.9634942841
2025-06-17,985616.9634942841,0.0,985616.9634942841
2025-06-18,985616.9634942841,0.0,985616.9634942841
2025-06-19,985616.9634942841,0.0,985616.9634942841
2025-06-20,985616.9634942841,0.0,985616.9634942841
2025-06-23,985616.9634942841,0.0,985616.9634942841
2025-06-24,985616.9634942841,0.0,985616.9634942841
2025-06-25,985616.9634942841,0.0,985616.9634942841
2025-06-26,985616.9634942841,0.0,985616.9634942841
2025-06-27,985616.9634942841,0.0,985616.9634942841
2025-06-30,985616.9634942841,0.0,985616.9634942841
2025-07-01,985616.9634942841,0.0,985616.9634942841
2025-07-02,985616.9634942841,0.0,985616.9634942841
2025-07-03,985616.9634942841,0.0,985616.9634942841
2025-07-04,985616.9634942841,0.0,985616.9634942841
2025-07-07,985616.9634942841,0.0,985616.9634942841
2025-07-08,985616.9634942841,0.0,985616.9634942841
2025-07-09,985616.9634942841,0.0,985616.9634942841
2025-07-10,985616.9634942841,0.0,985616.9634942841
2025-07-11,985616.9634942841,0.0,985616.9634942841
2025-07-14,985616.9634942841,0.0,985616.9634942841
2025-07-15,985616.9634942841,0.0,985616.9634942841
2025-07-16,985616.9634942841,0.0,985616.9634942841
2025-07-17,985616.9634942841,0.0,985616.9634942841
2025-07-18,985616.9634942841,0.0,985616.9634942841
2025-07-21,985616.9634942841,0.0,985616.9634942841
2025-07-22,985616.9634942841,0.0,985616.9634942841
2025-07-23,985616.9634942841,0.0,985616.9634942841
2025-07-24,985616.9634942841,0.0,985616.9634942841
2025-07-25,985616.9634942841,0.0,985616.9634942841
2025-07-28,985616.9634942841,0.0,985616.9634942841
2025-07-29,985616.9634942841,0.0,985616.9634942841
2025-07-30,985616.9634942841,0.0,985616.9634942841
2025-07-31,985616.9634942841,0.0,985616.9634942841
2025-08-01,985616.9634942841,0.0,985616.9634942841
2025-08-04,985616.9634942841,0.0,985616.9634942841
2025-08-05,985616.9634942841,0.0,985616.9634942841
2025-08-06,985616.9634942841,0.0,985616.9634942841
2025-08-07,985616.9634942841,0.0,985616.9634942841
2025-08-08,985616.9634942841,0.0,985616.9634942841
2025-08-11,985616.9634942841,0.0,985616.9634942841
2025-08-12,985616.9634942841,0.0,985616.9634942841
2025-08-13,985616.9634942841,0.0,985616.9634942841
2025-08-14,985616.9634942841,0.0,985616.9634942841
2025-08-15,985616.9634942841,0.0,985616.9634942841
2025-08-18,985616.9634942841,0.0,985616.9634942841
2025-08-19,985616.9634942841,0.0,985616.9634942841
2025-08-20,985616.9634942841,0.0,985616.9634942841
2025-08-21,985616.9634942841,0.0,985616.9634942841
2025-08-22,985616.9634942841,0.0,985616.9634942841
2025-08-25,985616.9634942841,0.0,985616.9634942841
