datetime,capital,position_value,equity
2016-06-14,1000000.0,0.0,1000000.0
2016-06-15,1000000.0,0.0,1000000.0
2016-06-16,1000000.0,0.0,1000000.0
2016-06-17,1000000.0,0.0,1000000.0
2016-06-20,1000000.0,0.0,1000000.0
2016-06-21,1000000.0,0.0,1000000.0
2016-06-22,1000000.0,0.0,1000000.0
2016-06-23,1000000.0,0.0,1000000.0
2016-06-24,1000000.0,0.0,1000000.0
2016-06-27,1000000.0,0.0,1000000.0
2016-06-28,1000000.0,0.0,1000000.0
2016-06-29,1000000.0,0.0,1000000.0
2016-06-30,1000000.0,0.0,1000000.0
2016-07-01,1000000.0,0.0,1000000.0
2016-07-04,1000000.0,0.0,1000000.0
2016-07-05,1000000.0,0.0,1000000.0
2016-07-06,1000000.0,0.0,1000000.0
2016-07-07,1000000.0,0.0,1000000.0
2016-07-08,1000000.0,0.0,1000000.0
2016-07-11,1000000.0,0.0,1000000.0
2016-07-12,1000000.0,0.0,1000000.0
2016-07-13,1000000.0,0.0,1000000.0
2016-07-14,1000000.0,0.0,1000000.0
2016-07-15,1000000.0,0.0,1000000.0
2016-07-18,1000000.0,0.0,1000000.0
2016-07-19,1000000.0,0.0,1000000.0
2016-07-20,1000000.0,0.0,1000000.0
2016-07-21,1000000.0,0.0,1000000.0
2016-07-22,1000000.0,0.0,1000000.0
2016-07-25,1000000.0,0.0,1000000.0
2016-07-26,1000000.0,0.0,1000000.0
2016-07-27,1000000.0,0.0,1000000.0
2016-07-28,29247.621578177088,968886.5814208984,998134.2029990755
2016-07-29,29247.621578177088,946928.6956787109,976176.317256888
2016-08-01,29247.621578177088,971631.2103271484,1000878.8319053255
2016-08-02,29247.621578177088,966141.5252685547,995389.1468467318
2016-08-03,29247.621578177088,946928.6956787109,976176.317256888
2016-08-04,29247.621578177088,957907.8521728516,987155.4737510287
2016-08-05,29247.621578177088,971631.2103271484,1000878.8319053255
2016-08-08,29247.621578177088,977120.8953857422,1006368.5169639193
2016-08-09,29247.621578177088,979865.4174804688,1009113.0390586458
