datetime,ticker,action,shares,price,commission,tax,cash,event
2016-07-28,2330.TW,BUY,1000.0,138.48157495880127,197.3362443162918,0.0,861321.0887968824,投資組合多重確認進場做多 (配置法: inverse_vol)
2016-08-18,2330.TW,SELL_ALL,1000.0,137.95120778656008,196.58047109584814,413.8536233596803,998661.8624889869,達到時間限制強制平倉
2017-02-08,00631L.TW,BUY,112000.0,1.1951473124027252,190.74551105947495,0.0,864614.6179888223,投資組合多重確認進場做多 (配置法: inverse_vol)
2017-02-10,00631L.TW,SELL_HALF,56000.0,1.23165386736393,98.28597861564162,206.91784971714026,933282.0307328696,階段 1 止盈 50% 成功，止損移至保本位
2017-02-10,0050.TW,BUY,18000.0,13.711064294815063,351.6887991620064,0.0,686131.1846270364,投資組合多重確認進場做多 (配置法: inverse_vol)
2017-02-15,0050.TW,SELL_HALF,9000.0,13.904328804492952,178.3230169176221,375.41687772130973,810716.4039728341,階段 1 止盈 50% 成功，止損移至保本位
2017-03-01,0050.TW,SELL_ALL,9000.0,13.612695176124573,174.58281563379765,367.54276975536345,932688.5349725661,觸發止損離場
2017-03-01,00631L.TW,SELL_ALL,56000.0,1.2312040773034096,98.2500853688121,206.8422849869728,1001330.8709312013,觸發止損離場
2017-05-09,0050.TW,BUY,21000.0,14.30433449077606,428.0572096364736,0.0,700511.7894152675,投資組合多重確認進場做多 (配置法: inverse_vol)
2017-05-25,0050.TW,SELL_HALF,10000.0,14.487594154834747,206.44821670639516,434.62782464504244,844746.6549222636,階段 1 止盈 50% 成功，止損移至保本位
2017-06-05,00631L.TW,BUY,125000.0,1.3979685992002486,249.0131567325443,0.0,669751.5668655,投資組合多重確認進場做多 (配置法: inverse_vol)
2017-06-14,0050.TW,SELL_ALL,11000.0,14.459370930671692,226.65063933827878,477.15924071216585,828100.8372228381,觸發止損離場
2017-06-14,00631L.TW,SELL_ALL,125000.0,1.3593200142979622,242.12887754682453,509.7450053617358,997263.9651271747,觸發止損離場
2017-06-20,0050.TW,BUY,21000.0,14.963514585971831,447.7831739852071,0.0,682582.3756477811,投資組合多重確認進場做多 (配置法: inverse_vol)
2017-06-20,00631L.TW,BUY,122000.0,1.4493643088936805,251.97198510116638,0.0,505507.95797765086,投資組合多重確認進場做多 (配置法: inverse_vol)
2017-06-26,0050.TW,SELL_HALF,10000.0,15.315456650733948,218.24525727295875,459.46369952201843,657984.8155281954,階段 1 止盈 50% 成功，止損移至保本位
2017-06-26,00631L.TW,SELL_HALF,61000.0,1.5137926956415177,131.58643006863892,277.02406330239774,749917.5594689569,階段 1 止盈 50% 成功，止損移至保本位
2017-08-11,0050.TW,SELL_ALL,11000.0,15.418697469711304,241.6880828377247,508.817016500473,918772.726536443,觸發止損離場
2017-08-11,00631L.TW,SELL_ALL,61000.0,1.5296847614645959,132.96784789031,279.932311348021,1011670.596826545,觸發止損離場
2018-01-17,0050.TW,BUY,19000.0,16.174965002059935,437.9371774307727,0.0,703908.3246099754,投資組合多重確認進場做多 (配置法: inverse_vol)
2018-01-18,0050.TW,SELL_HALF,9000.0,16.37702887058258,210.0353952652216,442.1797795057297,850649.3692704478,階段 1 止盈 50% 成功，止損移至保本位
2018-01-18,00631L.TW,BUY,95000.0,1.744051626563072,236.1009889459759,0.0,684728.3637580099,投資組合多重確認進場做多 (配置法: inverse_vol)
2018-01-22,00631L.TW,SELL_HALF,47000.0,1.7954618358612062,120.2510564568043,253.1601188564301,768741.6588681734,階段 1 止盈 50% 成功，止損移至保本位
2018-02-05,0050.TW,SELL_ALL,10000.0,16.273824273109437,231.90199589180946,488.21472819328307,930759.7848751827,觸發止損離場
2018-02-05,00631L.TW,SELL_ALL,48000.0,1.702788164138794,116.47071042709351,245.20149563598633,1012131.9445477817,觸發止損離場
2020-12-08,0050.TW,BUY,8000.0,25.507401028633115,290.78437172641753,0.0,807781.9519469903,投資組合多重確認進場做多 (配置法: inverse_vol)
2020-12-08,00631L.TW,BUY,26000.0,3.8678430082798,143.3035834567666,0.0,707074.7301482587,投資組合多重確認進場做多 (配置法: inverse_vol)
2020-12-15,0050.TW,SELL_ALL,8000.0,24.845120892524722,283.23437817478185,596.2829014205934,904956.1800088611,觸發止損離場
2020-12-15,00631L.TW,SELL_ALL,26000.0,3.6913334941864018,136.7639059596062,287.92401254653936,1000506.1629392015,觸發止損離場
